GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total,Hispanic or Latino,White_Alone,Black_or_African_American_Alone,American_Indian_and_Alaska_Native_Alone,Asian_Alone,Native_Hawaiian_and_Other_Pacific_Islander_Alone,Some_Other_Race_Alone
1400000US53009980100,53009980100,"Census Tract 9801, Clallam County, Washington",1356,88,170,3,1025,1,0,2
1400000US53009980200,53009980200,"Census Tract 9802, Clallam County, Washington",2043,163,1430,244,96,30,23,8
1400000US53009980300,53009980300,"Census Tract 9803, Clallam County, Washington",4939,743,3763,82,170,67,14,2
1400000US53009980400,53009980400,"Census Tract 9804, Clallam County, Washington",1808,50,1361,5,328,7,2,3
1400000US53009980600,53009980600,"Census Tract 9806, Clallam County, Washington",3085,53,2718,7,199,20,2,10
1400000US53009980700,53009980700,"Census Tract 9807, Clallam County, Washington",3137,84,2827,21,96,33,0,0
1400000US53009980800,53009980800,"Census Tract 9808, Clallam County, Washington",4058,89,3620,25,143,59,18,3
1400000US53009980900,53009980900,"Census Tract 9809, Clallam County, Washington",2890,49,2640,17,90,24,7,0
1400000US53009981000,53009981000,"Census Tract 9810, Clallam County, Washington",2340,57,2098,15,88,32,3,3
1400000US53009981100,53009981100,"Census Tract 9811, Clallam County, Washington",3002,82,2702,10,78,42,4,2
1400000US53009981200,53009981200,"Census Tract 9812, Clallam County, Washington",3639,76,3302,36,87,54,0,1
1400000US53009981300,53009981300,"Census Tract 9813, Clallam County, Washington",3102,65,2899,7,58,16,5,3
1400000US53009981400,53009981400,"Census Tract 9814, Clallam County, Washington",3905,42,3700,4,43,29,2,6
1400000US53009981500,53009981500,"Census Tract 9815, Clallam County, Washington",1893,44,1476,1,281,17,0,6
1400000US53009981600,53009981600,"Census Tract 9816, Clallam County, Washington",2795,52,2615,3,51,34,2,1
1400000US53009981700,53009981700,"Census Tract 9817, Clallam County, Washington",3986,92,3719,6,43,41,5,12
1400000US53009981800,53009981800,"Census Tract 9818, Clallam County, Washington",2307,32,2169,3,52,18,0,0
1400000US53009981900,53009981900,"Census Tract 9819, Clallam County, Washington",4705,128,4361,8,71,59,4,3
1400000US53009982000,53009982000,"Census Tract 9820, Clallam County, Washington",3374,41,3195,5,28,61,3,0
1400000US53009982100,53009982100,"Census Tract 9821, Clallam County, Washington",3002,121,2696,11,48,55,4,4
1400000US53009982300,53009982300,"Census Tract 9823, Clallam County, Washington",3159,52,2952,4,46,29,1,4
1400000US53011040101,53011040101,"Census Tract 401.01, Clark County, Washington",3722,74,3474,15,38,22,4,7
1400000US53011040102,53011040102,"Census Tract 401.02, Clark County, Washington",2953,62,2778,8,15,17,1,6
1400000US53011040201,53011040201,"Census Tract 402.01, Clark County, Washington",4628,209,4237,12,22,41,1,6
1400000US53011040202,53011040202,"Census Tract 402.02, Clark County, Washington",3224,76,3016,11,28,27,2,6
1400000US53011040203,53011040203,"Census Tract 402.03, Clark County, Washington",4565,103,4295,5,22,35,8,9
1400000US53011040300,53011040300,"Census Tract 403, Clark County, Washington",4923,118,4626,10,35,33,1,2
1400000US53011040403,53011040403,"Census Tract 404.03, Clark County, Washington",3705,58,3450,21,29,35,4,1
1400000US53011040404,53011040404,"Census Tract 404.04, Clark County, Washington",5960,152,5450,52,23,162,8,7
1400000US53011040405,53011040405,"Census Tract 404.05, Clark County, Washington",3082,160,2798,19,18,31,2,0
1400000US53011040406,53011040406,"Census Tract 404.06, Clark County, Washington",6327,172,5933,30,34,37,11,15
1400000US53011040407,53011040407,"Census Tract 404.07, Clark County, Washington",3717,161,3405,15,40,15,3,0
1400000US53011040408,53011040408,"Census Tract 404.08, Clark County, Washington",2713,57,2533,5,30,38,8,11
1400000US53011040504,53011040504,"Census Tract 405.04, Clark County, Washington",4127,92,3834,84,29,24,6,3
1400000US53011040505,53011040505,"Census Tract 405.05, Clark County, Washington",5252,93,5002,14,21,31,8,5
1400000US53011040506,53011040506,"Census Tract 405.06, Clark County, Washington",4914,94,4625,6,26,48,5,12
1400000US53011040507,53011040507,"Census Tract 405.07, Clark County, Washington",2118,50,1968,2,40,16,5,0
1400000US53011040508,53011040508,"Census Tract 405.08, Clark County, Washington",3576,61,3343,13,28,50,0,2
1400000US53011040509,53011040509,"Census Tract 405.09, Clark County, Washington",2917,100,2683,18,36,12,5,2
1400000US53011040603,53011040603,"Census Tract 406.03, Clark County, Washington",4135,76,3895,11,28,46,14,0
1400000US53011040604,53011040604,"Census Tract 406.04, Clark County, Washington",4425,137,3852,72,27,197,20,2
1400000US53011040605,53011040605,"Census Tract 406.05, Clark County, Washington",2445,60,2335,2,14,7,0,0
1400000US53011040606,53011040606,"Census Tract 406.06, Clark County, Washington",5797,143,5160,44,26,315,8,10
1400000US53011040702,53011040702,"Census Tract 407.02, Clark County, Washington",5344,112,4973,19,24,89,10,5
1400000US53011040703,53011040703,"Census Tract 407.03, Clark County, Washington",6047,278,5151,93,44,296,38,5
1400000US53011040705,53011040705,"Census Tract 407.05, Clark County, Washington",10261,482,8711,168,67,436,30,32
1400000US53011040706,53011040706,"Census Tract 407.06, Clark County, Washington",3355,194,2772,68,37,127,35,3
1400000US53011040803,53011040803,"Census Tract 408.03, Clark County, Washington",4215,389,3597,57,11,75,2,4
1400000US53011040804,53011040804,"Census Tract 408.04, Clark County, Washington",7099,871,5649,166,54,149,28,6
1400000US53011040805,53011040805,"Census Tract 408.05, Clark County, Washington",4698,112,4326,33,30,101,7,5
1400000US53011040806,53011040806,"Census Tract 408.06, Clark County, Washington",2985,91,2674,43,26,81,26,4
1400000US53011040904,53011040904,"Census Tract 409.04, Clark County, Washington",5439,236,4718,76,38,150,13,13
1400000US53011040905,53011040905,"Census Tract 409.05, Clark County, Washington",2760,54,2608,8,11,44,4,1
1400000US53011040906,53011040906,"Census Tract 409.06, Clark County, Washington",6911,176,6290,73,25,184,8,3
1400000US53011040907,53011040907,"Census Tract 409.07, Clark County, Washington",3530,103,3181,47,27,98,0,3
1400000US53011040908,53011040908,"Census Tract 409.08, Clark County, Washington",5506,162,4987,58,32,140,5,4
1400000US53011041002,53011041002,"Census Tract 410.02, Clark County, Washington",6267,299,5374,170,74,124,23,8
1400000US53011041003,53011041003,"Census Tract 410.03, Clark County, Washington",4027,197,3525,71,33,71,8,1
1400000US53011041005,53011041005,"Census Tract 410.05, Clark County, Washington",2014,201,1649,36,26,20,2,1
1400000US53011041007,53011041007,"Census Tract 410.07, Clark County, Washington",3057,149,2668,73,16,68,4,4
1400000US53011041008,53011041008,"Census Tract 410.08, Clark County, Washington",3689,83,3344,45,14,95,2,12
1400000US53011041009,53011041009,"Census Tract 410.09, Clark County, Washington",3484,190,3027,69,25,75,13,3
1400000US53011041104,53011041104,"Census Tract 411.04, Clark County, Washington",2560,109,2186,59,20,103,11,7
1400000US53011041105,53011041105,"Census Tract 411.05, Clark County, Washington",4307,150,3857,65,28,94,21,10
1400000US53011041107,53011041107,"Census Tract 411.07, Clark County, Washington",1687,28,1519,13,13,70,9,0
1400000US53011041108,53011041108,"Census Tract 411.08, Clark County, Washington",5310,269,4504,130,42,182,33,2
1400000US53011041109,53011041109,"Census Tract 411.09, Clark County, Washington",6070,884,4348,141,60,309,59,10
1400000US53011041110,53011041110,"Census Tract 411.10, Clark County, Washington",4891,236,4133,137,47,126,38,11
