GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73
1400000US53033022003,53033022003,"Census Tract 220.03, King County, Washington",5315,315,5000,4815,4277,102,31,378,17,10,185,166,31,31,44,10,22,5,4,0,1,4,0,1,8,1,4,16,1,1,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033022005,53033022005,"Census Tract 220.05, King County, Washington",4447,262,4185,4040,3362,139,17,491,11,20,145,129,12,28,41,3,22,2,2,1,0,1,0,1,5,11,0,16,6,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022006,53033022006,"Census Tract 220.06, King County, Washington",3653,140,3513,3431,2945,57,12,404,5,8,82,77,10,10,29,2,9,0,2,0,0,2,0,0,4,9,0,5,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022101,53033022101,"Census Tract 221.01, King County, Washington",4769,122,4647,4523,4085,81,13,335,9,0,124,121,20,18,45,1,26,2,0,0,0,2,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1400000US53033022102,53033022102,"Census Tract 221.02, King County, Washington",5286,168,5118,4973,4489,37,16,417,6,8,145,141,19,30,69,8,8,0,3,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022201,53033022201,"Census Tract 222.01, King County, Washington",4588,163,4425,4272,3978,58,23,202,3,8,153,137,21,41,52,2,7,0,0,0,0,4,0,0,6,4,0,15,9,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022202,53033022202,"Census Tract 222.02, King County, Washington",6790,301,6489,6286,5581,108,23,544,11,19,203,191,43,30,73,4,18,2,2,0,1,2,0,0,4,12,0,12,3,2,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022203,53033022203,"Census Tract 222.03, King County, Washington",4429,107,4322,4190,3725,56,14,370,9,16,132,124,13,20,62,2,16,0,1,0,8,0,0,1,1,0,0,7,1,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033022300,53033022300,"Census Tract 223, King County, Washington",2555,56,2499,2465,2347,12,5,97,0,4,34,29,0,7,18,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022400,53033022400,"Census Tract 224, King County, Washington",7113,188,6925,6767,6336,67,27,316,11,10,158,153,16,22,65,9,34,0,2,1,0,0,1,0,2,1,0,5,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033022500,53033022500,"Census Tract 225, King County, Washington",6246,185,6061,5925,5477,62,27,332,8,19,136,128,15,20,59,1,19,2,4,0,1,0,0,0,6,1,0,7,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
