GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53053061500,53053061500,"Census Tract 615, Pierce County, Washington",4742,4457,3711,399,76,169,24,78,285,246,68,56,78,5,18,5,5,1,0,2,0,0,4,3,1,36,11,6,4,2,1,1,0,9,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061601,53053061601,"Census Tract 616.01, Pierce County, Washington",1824,1691,1204,197,68,192,15,15,133,105,35,22,25,1,4,7,3,1,1,2,0,0,4,0,0,20,12,0,0,1,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,2,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1400000US53053061602,53053061602,"Census Tract 616.02, Pierce County, Washington",956,882,635,141,11,58,7,30,74,66,22,8,21,5,0,2,7,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53053061700,53053061700,"Census Tract 617, Pierce County, Washington",4578,3956,1962,1307,74,333,71,209,622,507,200,80,55,7,35,64,26,6,9,3,0,13,3,3,3,91,46,13,3,1,8,1,1,9,0,0,2,1,0,0,0,3,2,1,0,0,19,3,6,1,0,0,0,0,2,0,2,4,0,0,0,1,5,4,0,0,1,0,0,0,0
1400000US53053061800,53053061800,"Census Tract 618, Pierce County, Washington",2880,2616,1544,407,89,231,78,267,264,229,81,33,34,16,34,9,2,1,1,1,0,2,9,3,3,31,6,13,5,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53053061900,53053061900,"Census Tract 619, Pierce County, Washington",1961,1828,1192,252,64,149,15,156,133,119,39,24,25,0,12,10,1,1,2,1,0,1,2,1,0,14,5,1,0,2,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053062000,53053062000,"Census Tract 620, Pierce County, Washington",4228,3826,2519,381,200,307,61,358,402,352,106,59,46,0,32,31,21,2,6,4,0,9,15,21,0,47,11,8,0,3,10,1,0,8,1,0,1,0,0,2,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053062300,53053062300,"Census Tract 623, Pierce County, Washington",5244,4787,2534,636,177,769,78,593,457,397,125,76,70,10,47,20,17,6,2,3,7,2,7,5,0,57,30,12,0,0,3,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1400000US53053062400,53053062400,"Census Tract 624, Pierce County, Washington",5471,4976,3790,462,112,343,40,229,495,441,143,85,100,17,41,15,14,6,8,1,0,2,2,6,1,47,17,14,0,0,2,1,1,5,3,0,3,1,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053062500,53053062500,"Census Tract 625, Pierce County, Washington",7073,6405,4535,732,194,503,99,342,668,567,188,103,133,10,35,25,23,13,10,2,1,2,15,3,4,98,48,26,3,3,8,2,1,5,0,1,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
